2024-01-24 10:34:55.437 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-01-24 10:34:55.437 [info] Experiment 'pythonREPLSmartSend' is active
2024-01-24 10:34:55.437 [info] Experiment 'pythonSurveyNotificationcf' is active
2024-01-24 10:34:55.437 [info] Experiment 'pythonTerminalEnvVarActivationcf' is active
2024-01-24 10:34:55.437 [info] Experiment 'pythonTestAdapter' is active
2024-01-24 10:34:55.474 [info] Default formatter is set to null for workspace /home/sezuel/workspace/github.com/Sezuel
2024-01-24 10:34:55.825 [info] Test server listening.
2024-01-24 10:34:55.826 [info] Python interpreter path: /bin/python3
2024-01-24 10:34:57.116 [info] Starting Pylance language server.
2024-01-24 10:35:09.293 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 10:38:33.239 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 10:51:12.213 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 10:58:09.348 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 11:00:18.666 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 11:02:23.665 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 11:04:13.739 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 11:04:14.799 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 11:07:31.986 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 11:10:25.597 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 11:10:50.977 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 11:14:22.493 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 11:18:01.863 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 11:19:20.848 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 11:19:59.693 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
2024-01-24 11:20:43.390 [info] Discover tests for workspace name: Sezuel - uri: /home/sezuel/workspace/github.com/Sezuel/mazesolver/maze.py
